category_id,path
2457,おもちゃ・ホビー・ゲーム>テレビゲーム>アーケードゲーム
2461,おもちゃ・ホビー・ゲーム>テレビゲーム>その他
48813,おもちゃ・ホビー・ゲーム>テレビゲーム>Nintendo Switch
48814,おもちゃ・ホビー・ゲーム>テレビゲーム>プレイステーション4
2469,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>パーティー・イベント用品
2489,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>景品
2490,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>販促品
2491,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>ウエディング
2497,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>コスチューム・変装
2524,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>お祭り・縁日用品
2537,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>ハロウィン用品
2541,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>クリスマス用品
2549,おもちゃ・ホビー・ゲーム>パーティー・イベント用品・販促品>その他
2551,おもちゃ・ホビー・ゲーム>占い・開運・風水・パワーストーン>石・天然石・パワーストーン
2620,おもちゃ・ホビー・ゲーム>占い・開運・風水・パワーストーン>絵・カード
2626,おもちゃ・ホビー・ゲーム>占い・開運・風水・パワーストーン>置物・壁掛け
2627,おもちゃ・ホビー・ゲーム>占い・開運・風水・パワーストーン>財布
2628,おもちゃ・ホビー・ゲーム>占い・開運・風水・パワーストーン>その他
2630,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>絵画
2675,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>彫刻
2683,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>書
2689,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>骨董品・アンティーク
2690,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>工芸品・民芸品
2697,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>写真
2704,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>額縁
2722,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>ステンドグラス
2723,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>化石
2724,おもちゃ・ホビー・ゲーム>アート・美術品・骨董品・民芸品>その他
2726,おもちゃ・ホビー・ゲーム>囲碁・将棋・麻雀・チェス>囲碁
2732,おもちゃ・ホビー・ゲーム>囲碁・将棋・麻雀・チェス>将棋
2741,おもちゃ・ホビー・ゲーム>囲碁・将棋・麻雀・チェス>麻雀
2748,おもちゃ・ホビー・ゲーム>囲碁・将棋・麻雀・チェス>その他
2749,おもちゃ・ホビー・ゲーム>その他
2752,キッズ・ベビー・マタニティ>ジュニア>子供服・洋品（帽子・水着・アクセサリー）
2887,キッズ・ベビー・マタニティ>ジュニア>靴
2913,キッズ・ベビー・マタニティ>ジュニア>靴下・タイツ・スパッツ
2924,キッズ・ベビー・マタニティ>ジュニア>下着・肌着・パジャマ
2943,キッズ・ベビー・マタニティ>ジュニア>着物・浴衣・和小物
2967,キッズ・ベビー・マタニティ>ジュニア>バッグ
2981,キッズ・ベビー・マタニティ>ジュニア>雑貨・小物（お弁当グッズ・タオル・文具類）
3029,キッズ・ベビー・マタニティ>ジュニア>教材
3036,キッズ・ベビー・マタニティ>ジュニア>福袋
3037,キッズ・ベビー・マタニティ>ジュニア>その他
3039,キッズ・ベビー・マタニティ>キッズ>子供服・洋品（帽子・水着・雨具）
3224,キッズ・ベビー・マタニティ>キッズ>靴
3258,キッズ・ベビー・マタニティ>キッズ>靴下・タイツ・スパッツ
3270,キッズ・ベビー・マタニティ>キッズ>下着・肌着・パジャマ
3292,キッズ・ベビー・マタニティ>キッズ>着物・浴衣・和小物
3393,キッズ・ベビー・マタニティ>キッズ>バッグ・ランドセル
3423,キッズ・ベビー・マタニティ>キッズ>雑貨・小物（お弁当グッズ・タオル・文具類）
3480,キッズ・ベビー・マタニティ>キッズ>セーフティグッズ
3485,キッズ・ベビー・マタニティ>キッズ>知育・教材
3505,キッズ・ベビー・マタニティ>キッズ>福袋
3506,キッズ・ベビー・マタニティ>キッズ>その他
3508,キッズ・ベビー・マタニティ>ベビー>ベビー服・洋品（帽子・水着・雨具）
3606,キッズ・ベビー・マタニティ>ベビー>靴
3628,キッズ・ベビー・マタニティ>ベビー>靴下・タイツ・スパッツ
3634,キッズ・ベビー・マタニティ>ベビー>下着・肌着・パジャマ
3669,キッズ・ベビー・マタニティ>ベビー>着物・浴衣・和小物
3707,キッズ・ベビー・マタニティ>ベビー>おでかけ（ベビーカー・チャイルドシート・抱っこひも）
3754,キッズ・ベビー・マタニティ>ベビー>家具・ねんね
3784,キッズ・ベビー・マタニティ>ベビー>おふろ
3803,キッズ・ベビー・マタニティ>ベビー>トイレ・おむつ
3825,キッズ・ベビー・マタニティ>ベビー>衛生・ヘルスケア
3853,キッズ・ベビー・マタニティ>ベビー>授乳・お食事
3896,キッズ・ベビー・マタニティ>ベビー>セーフティーグッズ（ベビーサークル・ベビーゲート）
3909,キッズ・ベビー・マタニティ>ベビー>知育・教材
3919,キッズ・ベビー・マタニティ>ベビー>年中行事・ひな祭り・子供の日
3926,キッズ・ベビー・マタニティ>ベビー>福袋
3927,キッズ・ベビー・マタニティ>ベビー>その他
3929,キッズ・ベビー・マタニティ>マタニティ・ママ>マタニティウエア・授乳服・洋品（ママコート・水着・マザーバッグ）
3971,キッズ・ベビー・マタニティ>マタニティ・ママ>マタニティ用下着・肌着
3989,キッズ・ベビー・マタニティ>マタニティ・ママ>産後リフォーム用品
3997,キッズ・ベビー・マタニティ>マタニティ・ママ>パジャマ・ネグリジェ
4001,キッズ・ベビー・マタニティ>マタニティ・ママ>マタニティ食品
4006,キッズ・ベビー・マタニティ>マタニティ・ママ>産前・産後小物（妊娠線予防クリーム・母子手帳ケース）
4019,キッズ・ベビー・マタニティ>マタニティ・ママ>マタニティビクス・ヨガ
4023,キッズ・ベビー・マタニティ>マタニティ・ママ>福袋
4024,キッズ・ベビー・マタニティ>マタニティ・ママ>その他
4026,キッズ・ベビー・マタニティ>出産祝い・内祝い・ギフト>ギフトセット
4032,キッズ・ベビー・マタニティ>出産祝い・内祝い・ギフト>カタログギフト
4033,キッズ・ベビー・マタニティ>出産祝い・内祝い・ギフト>メモリアル・記念品
4048,キッズ・ベビー・マタニティ>出産祝い・内祝い・ギフト>その他
4049,キッズ・ベビー・マタニティ>その他
4052,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>指輪・リング
4232,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ネックレス・ペンダント
4469,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ネックレス（チェーンのみ）
4508,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ペンダントトップ
4536,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>チョーカー
4545,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>イヤリング
4722,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ピアス
4935,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ボディピアス
4969,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>コサージュ
4975,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ブローチ
4989,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>カメオ
4995,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ブレスレット
5183,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>バングル
5195,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>アンクレット
5205,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ラリエット
5206,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ルース
5274,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ヘアアクセサリー
5284,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>トゥリング
5290,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>チャーム
5295,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>インディアンジュエリー
5297,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>ハワイアンジュエリー
5299,ジュエリー・アクセサリー>レディースジュエリー・アクセサリー>その他
5301,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>指輪・リング
5311,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ネックレス・ペンダント
5321,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ネックレス（チェーンのみ）
5341,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ペンダントトップ
5349,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>チョーカー
5357,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ピアス
5368,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ボディピアス
5375,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ブレスレット
5386,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>バングル
5395,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ウォレットチェーン
5399,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>キーチェーン
5400,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>カフス
5405,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>タイピン
5410,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>タイニーピン
5411,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>インディアンジュエリー
5413,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>ハワイアンジュエリー
5415,ジュエリー・アクセサリー>メンズジュエリー・アクセサリー>その他
5417,ジュエリー・アクセサリー>男女兼用アクセサリー>指輪・リング
5423,ジュエリー・アクセサリー>男女兼用アクセサリー>ネックレス・ペンダント
5429,ジュエリー・アクセサリー>男女兼用アクセサリー>ネックレス（チェーンのみ）
5435,ジュエリー・アクセサリー>男女兼用アクセサリー>ブレスレット
5442,ジュエリー・アクセサリー>男女兼用アクセサリー>バングル
5447,ジュエリー・アクセサリー>男女兼用アクセサリー>その他
5449,ジュエリー・アクセサリー>ペアアクセサリー>指輪・リング
5457,ジュエリー・アクセサリー>ペアアクセサリー>ネックレス・ペンダント
5465,ジュエリー・アクセサリー>ペアアクセサリー>ネックレス（チェーンのみ）
5473,ジュエリー・アクセサリー>ペアアクセサリー>ブレスレット
5482,ジュエリー・アクセサリー>ペアアクセサリー>バングル
5487,ジュエリー・アクセサリー>ペアアクセサリー>その他
5489,ジュエリー・アクセサリー>ブライダルジュエリー>結婚指輪（マリッジリング）
5516,ジュエリー・アクセサリー>ブライダルジュエリー>婚約指輪（エンゲージリング）
5543,ジュエリー・アクセサリー>ブライダルジュエリー>ティアラ
5544,ジュエリー・アクセサリー>ブライダルジュエリー>その他
5546,ジュエリー・アクセサリー>ジュエリー・アクセサリー用品>ケア用品
5550,ジュエリー・アクセサリー>ジュエリー・アクセサリー用品>ピアッサー
5559,ジュエリー・アクセサリー>ジュエリー・アクセサリー用品>リングゲージ
5560,ジュエリー・アクセサリー>ジュエリー・アクセサリー用品>その他
5561,ジュエリー・アクセサリー>その他
5564,スイーツ・お菓子>洋菓子>チョコレート
5658,スイーツ・お菓子>洋菓子>パウンドケーキ
5661,スイーツ・お菓子>洋菓子>その他ケーキ
5671,スイーツ・お菓子>洋菓子>タルト
5688,スイーツ・お菓子>洋菓子>パイ
5696,スイーツ・お菓子>洋菓子>ワッフル
5763,スイーツ・お菓子>洋菓子>ゼリー
5781,スイーツ・お菓子>洋菓子>ドーナツ
5785,スイーツ・お菓子>洋菓子>バウムクーヘン
5787,スイーツ・お菓子>洋菓子>カステラ
5792,スイーツ・お菓子>洋菓子>マドレーヌ
5793,スイーツ・お菓子>洋菓子>フィナンシェ
5794,スイーツ・お菓子>洋菓子>マフィン
5795,スイーツ・お菓子>洋菓子>カヌレ
5796,スイーツ・お菓子>洋菓子>クッキー
5817,スイーツ・お菓子>洋菓子>マカロン
5818,スイーツ・お菓子>洋菓子>ラスク
5819,スイーツ・お菓子>洋菓子>ゴーフル
